1,2,45000,1250
1,3,78000,2100
1,4,32000,980
2,5,56000,1520
2,6,89000,2450
3,7,67000,1850
3,8,43000,1180
4,9,91000,2680
4,10,38000,1050
5,11,72000,1980
5,12,54000,1480
6,13,86000,2320
6,14,41000,1120
7,15,95000,2750
7,16,49000,1350
8,17,68000,1890
8,18,37000,1020
9,19,83000,2250
9,20,59000,1620
10,21,77000,2080
10,22,44000,1210
11,23,92000,2650
11,24,51000,1410
12,25,70000,1920
12,26,36000,990
13,27,88000,2380
13,28,63000,1720
14,29,74000,2020
14,30,47000,1280
15,31,96000,2820
15,32,52000,1450
16,33,82000,2180
16,34,39000,1080
17,35,90000,2550
17,36,58000,1580
18,37,71000,1950
18,38,42000,1150
19,39,85000,2280
19,40,61000,1680
20,41,76000,2050
20,42,48000,1320
21,43,94000,2720
21,44,55000,1520
22,45,69000,1880
22,46,35000,960
23,47,87000,2350
23,48,64000,1750
24,49,73000,1990
24,50,46000,1250
25,30,65000,1780
26,5,47000,1290
27,12,73000,2010
28,19,56000,1550
29,7,89000,2480
30,14,41000,1130
31,22,94000,2710
32,8,50000,1380
33,17,77000,2090
34,25,65000,1770
35,11,84000,2290
36,3,39000,1060
37,20,71000,1940
38,33,58000,1600
39,45,91000,2590
40,16,53000,1460
41,28,80000,2170
42,9,46000,1260
43,34,87000,2370
44,21,67000,1830
45,38,72000,1970
46,4,42000,1140
47,41,95000,2780
48,15,63000,1730
49,10,52000,1440
50,27,85000,2310



